"customer_id","tag"
"88","vip"
"89","loyalty"
"89","referral"
"89","seasonal"
"90","mobile"
"91","newsletter"
"91","wholesale"
"92","partner"
"92","priority"
"92","vip"
"93","loyalty"
"94","mobile"
"94","staff"
"95","newsletter"
"95","sms"
"95","wholesale"
"96","priority"
"97","loyalty"
"97","seasonal"
"98","email"
"98","mobile"
"98","staff"
"99","newsletter"
"100","priority"
"100","vip"
"101","loyalty"
"101","referral"
"101","seasonal"
"102","mobile"
"103","newsletter"
"103","wholesale"
"104","partner"
"104","priority"
"104","vip"
"105","loyalty"
"106","mobile"
"106","staff"
"107","newsletter"
"107","sms"
"107","wholesale"
"108","priority"
"109","loyalty"
"109","seasonal"
"110","email"
"110","mobile"
"110","staff"
"111","newsletter"
"112","priority"
"112","vip"
"113","loyalty"
"113","referral"
"113","seasonal"
"114","mobile"
"115","newsletter"
"115","wholesale"
"116","partner"
"116","priority"
"116","vip"
"117","loyalty"
"118","mobile"
"118","staff"
"119","newsletter"
"119","sms"
"119","wholesale"
"120","priority"
"121","loyalty"
"121","seasonal"
"122","email"
"122","mobile"
"122","staff"
"123","newsletter"
"124","priority"
"124","vip"
"125","loyalty"
"125","referral"
"125","seasonal"
"126","mobile"
"127","newsletter"
"127","wholesale"
"128","partner"
"128","priority"
"128","vip"
"129","loyalty"
"130","mobile"
"130","staff"
"131","newsletter"
"131","sms"
"131","wholesale"
"132","priority"
"133","loyalty"
"133","seasonal"
"134","email"
"134","mobile"
"134","staff"
"135","newsletter"
"136","priority"
"136","vip"
"137","loyalty"
"137","referral"
"137","seasonal"
"138","mobile"
"139","newsletter"
"139","wholesale"
"140","partner"
"140","priority"
"140","vip"
"141","loyalty"
"142","mobile"
"142","staff"
"143","newsletter"
"143","sms"
"143","wholesale"
"144","priority"
"145","loyalty"
"145","seasonal"
"146","email"
"146","mobile"
"146","staff"
"147","newsletter"
"148","priority"
"148","vip"
"149","loyalty"
"149","referral"
"149","seasonal"
"150","mobile"
"151","newsletter"
"151","wholesale"
"152","partner"
"152","priority"
"152","vip"
"153","loyalty"
"154","mobile"
"154","staff"
"155","newsletter"
"155","sms"
"155","wholesale"
"156","priority"
"157","loyalty"
"157","seasonal"
"158","email"
"158","mobile"
"158","staff"
"159","newsletter"
"160","priority"
"160","vip"
"161","loyalty"
"161","referral"
"161","seasonal"
"162","mobile"
"163","newsletter"
"163","wholesale"
"164","partner"
"164","priority"
"164","vip"
"165","loyalty"
"166","mobile"
"166","staff"
"167","newsletter"
"167","sms"
"167","wholesale"
"168","priority"
"169","loyalty"
"169","seasonal"
"170","email"
"170","mobile"
"170","staff"
"171","newsletter"
"172","priority"
"172","vip"
"173","loyalty"
"173","referral"
"173","seasonal"
"174","mobile"
"175","newsletter"
"175","wholesale"
"176","partner"
"176","priority"
"176","vip"
"177","loyalty"
"178","mobile"
"178","staff"
"179","newsletter"
"179","sms"
"179","wholesale"
"180","priority"
"181","loyalty"
"181","seasonal"
"182","email"
"182","mobile"
"182","staff"
"183","newsletter"
"184","priority"
"184","vip"
"185","loyalty"
"185","referral"
"185","seasonal"
"186","mobile"
"187","newsletter"
"187","wholesale"
"188","partner"
"188","priority"
"188","vip"
"189","loyalty"
"190","mobile"
"190","staff"
"191","newsletter"
"191","sms"
"191","wholesale"
"192","priority"
"193","loyalty"
"193","seasonal"
"194","email"
"194","mobile"
"194","staff"
"195","newsletter"
"196","priority"
"196","vip"
"197","loyalty"
"197","referral"
"197","seasonal"
"198","mobile"
"199","newsletter"
"199","wholesale"
"200","partner"
"200","priority"
"200","vip"
