"order_id","customer_id","order_ts","order_status","order_total","sales_channel","attrs","order_date"
"43","43","2026-09-20 13:01:41.437","CANCELLED","30.59","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-20"
"44","44","2026-09-20 12:24:41.437","PLACED","30.72","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-20"
"45","45","2026-09-20 11:47:41.437","SHIPPED","30.85","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-20"
"46","46","2026-09-20 11:10:41.437","DELIVERED","30.98","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-20"
"47","47","2026-09-20 10:33:41.437","CANCELLED","31.11","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-20"
"48","48","2026-09-20 09:56:41.437","PLACED","31.24","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-20"
"49","49","2026-09-20 09:19:41.437","SHIPPED","31.37","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-20"
"50","50","2026-09-20 08:42:41.437","DELIVERED","31.50","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-20"
"51","51","2026-09-20 08:05:41.437","CANCELLED","31.63","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-20"
"52","52","2026-09-20 07:28:41.437","PLACED","31.76","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-20"
"53","53","2026-09-20 06:51:41.437","SHIPPED","31.89","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-20"
"54","54","2026-09-20 06:14:41.437","DELIVERED","32.02","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-20"
"55","55","2026-09-20 05:37:41.437","CANCELLED","32.15","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-20"
"56","56","2026-09-20 05:00:41.437","PLACED","32.28","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-20"
"57","57","2026-09-20 04:23:41.437","SHIPPED","32.41","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-20"
"58","58","2026-09-20 03:46:41.437","DELIVERED","32.54","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-20"
"59","59","2026-09-20 03:09:41.437","CANCELLED","32.67","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-20"
"60","60","2026-09-20 02:32:41.437","PLACED","32.80","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-20"
"61","61","2026-09-20 01:55:41.437","SHIPPED","32.93","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-20"
"62","62","2026-09-20 01:18:41.437","DELIVERED","33.06","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-20"
"63","63","2026-09-20 00:41:41.437","CANCELLED","33.19","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-20"
"64","64","2026-09-20 00:04:41.437","PLACED","33.32","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-20"
"65","65","2026-09-19 23:27:41.437","SHIPPED","33.45","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-19"
"66","66","2026-09-19 22:50:41.437","DELIVERED","33.58","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-19"
"67","67","2026-09-19 22:13:41.437","CANCELLED","33.71","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-19"
"68","68","2026-09-19 21:36:41.437","PLACED","33.84","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-19"
"69","69","2026-09-19 20:59:41.437","SHIPPED","33.97","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-19"
"70","70","2026-09-19 20:22:41.437","DELIVERED","34.10","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-19"
"71","71","2026-09-19 19:45:41.437","CANCELLED","34.23","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-19"
"72","72","2026-09-19 19:08:41.437","PLACED","34.36","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-19"
"73","73","2026-09-19 18:31:41.437","SHIPPED","34.49","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-19"
"74","74","2026-09-19 17:54:41.437","DELIVERED","34.62","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-19"
"75","75","2026-09-19 17:17:41.437","CANCELLED","34.75","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-19"
"76","76","2026-09-19 16:40:41.437","PLACED","34.88","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-19"
"77","77","2026-09-19 16:03:41.437","SHIPPED","35.01","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-19"
"78","78","2026-09-19 15:26:41.437","DELIVERED","35.14","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-19"
"79","79","2026-09-19 14:49:41.437","CANCELLED","35.27","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-19"
"80","80","2026-09-19 14:12:41.437","PLACED","35.40","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-19"
"81","81","2026-09-19 13:35:41.437","SHIPPED","35.53","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-19"
"82","82","2026-09-19 12:58:41.437","DELIVERED","35.66","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-19"
"83","83","2026-09-19 12:21:41.437","CANCELLED","35.79","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-19"
"84","84","2026-09-19 11:44:41.437","PLACED","35.92","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-19"
"85","85","2026-09-19 11:07:41.437","SHIPPED","36.05","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-19"
"86","86","2026-09-19 10:30:41.437","DELIVERED","36.18","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-19"
"87","87","2026-09-19 09:53:41.437","CANCELLED","36.31","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-19"
"88","88","2026-09-19 09:16:41.437","PLACED","36.44","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-19"
"89","89","2026-09-19 08:39:41.437","SHIPPED","36.57","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-19"
"90","90","2026-09-19 08:02:41.437","DELIVERED","36.70","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-19"
"91","91","2026-09-19 07:25:41.437","CANCELLED","36.83","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-19"
"92","92","2026-09-19 06:48:41.437","PLACED","36.96","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-19"
"93","93","2026-09-19 06:11:41.437","SHIPPED","37.09","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-19"
"94","94","2026-09-19 05:34:41.437","DELIVERED","37.22","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-19"
"95","95","2026-09-19 04:57:41.437","CANCELLED","37.35","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-19"
"96","96","2026-09-19 04:20:41.437","PLACED","37.48","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-19"
"97","97","2026-09-19 03:43:41.437","SHIPPED","37.61","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-19"
"98","98","2026-09-19 03:06:41.437","DELIVERED","37.74","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-19"
"99","99","2026-09-19 02:29:41.437","CANCELLED","37.87","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-19"
"100","100","2026-09-19 01:52:41.437","PLACED","38.00","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-19"
"101","101","2026-09-19 01:15:41.437","SHIPPED","38.13","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-19"
"102","102","2026-09-19 00:38:41.437","DELIVERED","38.26","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-19"
"103","103","2026-09-19 00:01:41.437","CANCELLED","38.39","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-19"
"104","104","2026-09-18 23:24:41.437","PLACED","38.52","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-18"
"105","105","2026-09-18 22:47:41.437","SHIPPED","38.65","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-18"
"106","106","2026-09-18 22:10:41.437","DELIVERED","38.78","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-18"
"107","107","2026-09-18 21:33:41.437","CANCELLED","38.91","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-18"
"108","108","2026-09-18 20:56:41.437","PLACED","39.04","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-18"
"109","109","2026-09-18 20:19:41.437","SHIPPED","39.17","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-18"
"110","110","2026-09-18 19:42:41.437","DELIVERED","39.30","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-18"
"111","111","2026-09-18 19:05:41.437","CANCELLED","39.43","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-18"
"112","112","2026-09-18 18:28:41.437","PLACED","39.56","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-18"
"113","113","2026-09-18 17:51:41.437","SHIPPED","39.69","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-18"
"114","114","2026-09-18 17:14:41.437","DELIVERED","39.82","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-18"
"115","115","2026-09-18 16:37:41.437","CANCELLED","39.95","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-18"
"116","116","2026-09-18 16:00:41.437","PLACED","40.08","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-18"
"117","117","2026-09-18 15:23:41.437","SHIPPED","40.21","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-18"
"118","118","2026-09-18 14:46:41.437","DELIVERED","40.34","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-18"
"119","119","2026-09-18 14:09:41.437","CANCELLED","40.47","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-18"
"120","120","2026-09-18 13:32:41.437","PLACED","40.60","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-18"
"121","121","2026-09-18 12:55:41.437","SHIPPED","40.73","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-18"
"122","122","2026-09-18 12:18:41.437","DELIVERED","40.86","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-18"
"123","123","2026-09-18 11:41:41.437","CANCELLED","40.99","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-18"
"124","124","2026-09-18 11:04:41.437","PLACED","41.12","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-18"
"125","125","2026-09-18 10:27:41.437","SHIPPED","41.25","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-18"
"126","126","2026-09-18 09:50:41.437","DELIVERED","41.38","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-18"
"127","127","2026-09-18 09:13:41.437","CANCELLED","41.51","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-18"
"128","128","2026-09-18 08:36:41.437","PLACED","41.64","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-18"
"129","129","2026-09-18 07:59:41.437","SHIPPED","41.77","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-18"
"130","130","2026-09-18 07:22:41.437","DELIVERED","41.90","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-18"
"131","131","2026-09-18 06:45:41.437","CANCELLED","42.03","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-18"
"132","132","2026-09-18 06:08:41.437","PLACED","42.16","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-18"
"133","133","2026-09-18 05:31:41.437","SHIPPED","42.29","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-18"
"134","134","2026-09-18 04:54:41.437","DELIVERED","42.42","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-18"
"135","135","2026-09-18 04:17:41.437","CANCELLED","42.55","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-18"
"136","136","2026-09-18 03:40:41.437","PLACED","42.68","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-18"
"137","137","2026-09-18 03:03:41.437","SHIPPED","42.81","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-18"
"138","138","2026-09-18 02:26:41.437","DELIVERED","42.94","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-18"
"139","139","2026-09-18 01:49:41.437","CANCELLED","43.07","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-18"
"140","140","2026-09-18 01:12:41.437","PLACED","43.20","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-18"
"141","141","2026-09-18 00:35:41.437","SHIPPED","43.33","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-18"
"142","142","2026-09-17 23:58:41.437","DELIVERED","43.46","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-17"
"143","143","2026-09-17 23:21:41.437","CANCELLED","43.59","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-17"
"144","144","2026-09-17 22:44:41.437","PLACED","43.72","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-17"
"145","145","2026-09-17 22:07:41.437","SHIPPED","43.85","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-17"
"146","146","2026-09-17 21:30:41.437","DELIVERED","43.98","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-17"
"147","147","2026-09-17 20:53:41.437","CANCELLED","44.11","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-17"
"148","148","2026-09-17 20:16:41.437","PLACED","44.24","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-17"
"149","149","2026-09-17 19:39:41.437","SHIPPED","44.37","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-17"
"150","150","2026-09-17 19:02:41.437","DELIVERED","44.50","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-17"
"151","151","2026-09-17 18:25:41.437","CANCELLED","44.63","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-17"
"152","152","2026-09-17 17:48:41.437","PLACED","44.76","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-17"
"153","153","2026-09-17 17:11:41.437","SHIPPED","44.89","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-17"
"154","154","2026-09-17 16:34:41.437","DELIVERED","45.02","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-17"
"155","155","2026-09-17 15:57:41.437","CANCELLED","45.15","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-17"
"156","156","2026-09-17 15:20:41.437","PLACED","45.28","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-17"
"157","157","2026-09-17 14:43:41.437","SHIPPED","45.41","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-17"
"158","158","2026-09-17 14:06:41.437","DELIVERED","45.54","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-17"
"159","159","2026-09-17 13:29:41.437","CANCELLED","45.67","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-17"
"160","160","2026-09-17 12:52:41.437","PLACED","45.80","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-17"
"161","161","2026-09-17 12:15:41.437","SHIPPED","45.93","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-17"
"162","162","2026-09-17 11:38:41.437","DELIVERED","46.06","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-17"
"163","163","2026-09-17 11:01:41.437","CANCELLED","46.19","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-17"
"164","164","2026-09-17 10:24:41.437","PLACED","46.32","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-17"
"165","165","2026-09-17 09:47:41.437","SHIPPED","46.45","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-17"
"166","166","2026-09-17 09:10:41.437","DELIVERED","46.58","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-17"
"167","167","2026-09-17 08:33:41.437","CANCELLED","46.71","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-17"
"168","168","2026-09-17 07:56:41.437","PLACED","46.84","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-17"
"169","169","2026-09-17 07:19:41.437","SHIPPED","46.97","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-17"
"170","170","2026-09-17 06:42:41.437","DELIVERED","47.10","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-17"
"171","171","2026-09-17 06:05:41.437","CANCELLED","47.23","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-17"
"172","172","2026-09-17 05:28:41.437","PLACED","47.36","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-17"
"173","173","2026-09-17 04:51:41.437","SHIPPED","47.49","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-17"
"174","174","2026-09-17 04:14:41.437","DELIVERED","47.62","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-17"
"175","175","2026-09-17 03:37:41.437","CANCELLED","47.75","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-17"
"176","176","2026-09-17 03:00:41.437","PLACED","47.88","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-17"
"177","177","2026-09-17 02:23:41.437","SHIPPED","48.01","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-17"
"178","178","2026-09-17 01:46:41.437","DELIVERED","48.14","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-17"
"179","179","2026-09-17 01:09:41.437","CANCELLED","48.27","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-17"
"180","180","2026-09-17 00:32:41.437","PLACED","48.40","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-17"
"181","181","2026-09-16 23:55:41.437","SHIPPED","48.53","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-16"
"182","182","2026-09-16 23:18:41.437","DELIVERED","48.66","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-16"
"183","183","2026-09-16 22:41:41.437","CANCELLED","48.79","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-16"
"184","184","2026-09-16 22:04:41.437","PLACED","48.92","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-16"
"185","185","2026-09-16 21:27:41.437","SHIPPED","49.05","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-16"
"186","186","2026-09-16 20:50:41.437","DELIVERED","49.18","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-16"
"187","187","2026-09-16 20:13:41.437","CANCELLED","49.31","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-16"
"188","188","2026-09-16 19:36:41.437","PLACED","49.44","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-16"
"189","189","2026-09-16 18:59:41.437","SHIPPED","49.57","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-16"
"190","190","2026-09-16 18:22:41.437","DELIVERED","49.70","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-16"
"191","191","2026-09-16 17:45:41.437","CANCELLED","49.83","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-16"
"192","192","2026-09-16 17:08:41.437","PLACED","49.96","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-16"
"193","193","2026-09-16 16:31:41.437","SHIPPED","50.09","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-16"
"194","194","2026-09-16 15:54:41.437","DELIVERED","50.22","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-16"
"195","195","2026-09-16 15:17:41.437","CANCELLED","50.35","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-16"
"196","196","2026-09-16 14:40:41.437","PLACED","50.48","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-16"
"197","197","2026-09-16 14:03:41.437","SHIPPED","50.61","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-16"
"198","198","2026-09-16 13:26:41.437","DELIVERED","50.74","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-16"
"199","199","2026-09-16 12:49:41.437","CANCELLED","50.87","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-16"
"200","200","2026-09-16 12:12:41.437","PLACED","51.00","store","{""device"":""tablet"",""promo"":""NONE""}","2026-09-16"
"201","1","2026-09-16 11:35:41.437","SHIPPED","51.13","web","{""device"":""desktop"",""promo"":""WELCOME10""}","2026-09-16"
"202","2","2026-09-16 10:58:41.437","DELIVERED","51.26","app","{""device"":""mobile"",""promo"":""SPRING15""}","2026-09-16"
"203","3","2026-09-16 10:21:41.437","CANCELLED","51.39","store","{""device"":""tablet"",""promo"":""LOYALTY5""}","2026-09-16"
"204","4","2026-09-16 09:44:41.437","PLACED","51.52","web","{""device"":""desktop"",""promo"":""NONE""}","2026-09-16"
"205","5","2026-09-16 09:07:41.437","SHIPPED","51.65","app","{""device"":""mobile"",""promo"":""WELCOME10""}","2026-09-16"
"206","6","2026-09-16 08:30:41.437","DELIVERED","51.78","store","{""device"":""tablet"",""promo"":""SPRING15""}","2026-09-16"
"207","7","2026-09-16 07:53:41.437","CANCELLED","51.91","web","{""device"":""desktop"",""promo"":""LOYALTY5""}","2026-09-16"
"208","8","2026-09-16 07:16:41.437","PLACED","52.04","app","{""device"":""mobile"",""promo"":""NONE""}","2026-09-16"
"209","9","2026-09-16 06:39:41.437","SHIPPED","52.17","store","{""device"":""tablet"",""promo"":""WELCOME10""}","2026-09-16"
"210","10","2026-09-16 06:02:41.437","DELIVERED","52.30","web","{""device"":""desktop"",""promo"":""SPRING15""}","2026-09-16"
"211","11","2026-09-16 05:25:41.437","CANCELLED","52.43","app","{""device"":""mobile"",""promo"":""LOYALTY5""}","2026-09-16"
